year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,24,811,246,635618.733023,18615000.0,653896.105549
2009,9,357,111,666424.102889,18987300.0,684149.249713
2010,1,33,10,684057.669077,18942300.0,698736.980416
2011,18,805,252,701081.562962,19084933.0,709988.059741
2012,15,662,216,735738.437351,19466630.0,737527.149401
2013,9,381,123,769658.562298,18149000.0,763947.961875
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.375,0.4401972873,0.451219512195,1.04846516987,1.02,1.04626598004
2010,0.0416666666667,0.0406905055487,0.0406504065041,1.07620753376,1.01758259468,1.06857492266
2011,0.75,0.992601726264,1.0243902439,1.1029907184,1.0252448563,1.08578114125
2012,0.625,0.816276202219,0.878048780488,1.15751534549,1.04574966425,1.12789653149
2013,0.375,0.469790382244,0.5,1.21088086665,0.974966424926,1.16830174609
