year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,12,386,121,643432.378027,12563631.0,655078.16017
2009,14,616,192,668598.198109,14390135.0,677973.486054
2010,14,489,151,691551.623125,45318701.0,867854.352501
2011,9,511,156,706649.582951,20013926.0,710335.812971
2012,12,489,163,731025.176692,20397748.0,725792.88712
2013,9,460,132,764393.92518,20318220.0,763586.884973
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.16666666667,1.59585492228,1.5867768595,1.03911183357,1.14538026467,1.03495052541
2010,1.16666666667,1.26683937824,1.2479338843,1.07478524044,3.60713403633,1.32481038946
2011,0.75,1.32383419689,1.28925619835,1.09824995925,1.59300492031,1.08435276301
2012,1.0,1.26683937824,1.34710743802,1.1361336508,1.6235551649,1.10794853385
2013,0.75,1.19170984456,1.09090909091,1.18799418755,1.61722514773,1.16564240941
