year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,87,21,421577.0,0.0,0.0
2009,4,143,46,430007.0,0.0,0.0
2010,1,36,14,428988.0,0.0,0.0
2011,1,39,13,432217.0,0.0,0.0
2012,1,45,15,440860.0,0.0,0.0
2013,8,394,134,449676.0,0.0,0.0
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,0,0
2009,4.0,1.64367816092,2.19047619048,1.01999634705,0,0
2010,1.0,0.413793103448,0.666666666667,1.01757923226,0,0
2011,1.0,0.448275862069,0.619047619048,1.02523856852,0,0
2012,1.0,0.51724137931,0.714285714286,1.04574016135,0,0
2013,8.0,4.52873563218,6.38095238095,1.06665211812,0,0
