year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,4,110,32,465520.368427,22622076.0,570419.164575
2009,5,122,33,486413.918765,23074240.0,588585.084919
2010,7,268,81,494785.66389,23019587.0,585182.607681
2011,5,214,71,505483.608104,18885436.0,545835.128577
2012,6,283,95,524518.654543,19283055.0,558047.578822
2013,2,67,21,550788.377579,19691934.0,579273.601508
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,1.25,1.10909090909,1.03125,1.04488213998,1.01998773234,1.03184661644
2010,1.75,2.43636363636,2.53125,1.06286576796,1.0175718179,1.02588174455
2011,1.25,1.94545454545,2.21875,1.08584638264,0.834823293848,0.956901805681
2012,1.5,2.57272727273,2.96875,1.12673620773,0.852399885846,0.978311412868
2013,0.5,0.609090909091,0.65625,1.18316708556,0.870474221729,1.01552268487
