year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,4,108,33,524565.152156,173750747.0,2089770.91668
2009,2,69,21,549024.252696,177175902.0,2133096.92352
2010,9,324,101,556958.34642,176716489.0,2128863.70407
2011,5,172,50,567414.989079,178040270.0,2143830.26447
2012,5,234,72,589342.562742,181491968.0,2184565.00367
2013,3,96,31,611982.980514,184748757.0,2224816.78719
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.5,0.638888888889,0.636363636364,1.04662738354,1.01971303755,1.02073241928
2010,2.25,3.0,3.06060606061,1.06175247084,1.01706894532,1.01870673339
2011,1.25,1.59259259259,1.51515151515,1.08168639634,1.02468779602,1.02586855208
2012,1.25,2.16666666667,2.18181818182,1.12348782667,1.04455359838,1.04536099447
2013,0.75,0.888888888889,0.939393939394,1.16664818088,1.06329762715,1.06462233225
