year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,3,110,36,4614290.82016,373417288.0,25301039.6028
2009,1,38,12,4725465.08372,380720707.0,25785142.2574
2010,1,35,12,5050688.76209,380622666.0,27385334.3335
2011,2,69,21,5040406.29394,383331224.0,27428251.1213
2012,3,259,82,5140068.17471,389419149.0,27979480.0961
2013,1,13,0,5280952.26284,398607869.0,28574224.5388
year,fires,people,units,property_value_average,property_value_max_disparity,property_value_standard_deviation
2008,1,1,1,1,1,1
2009,0.333333333333,0.345454545455,0.333333333333,1.02409346699,1.01955833121,1.01913370605
2010,0.333333333333,0.318181818182,0.333333333333,1.09457530072,1.01929578044,1.08237980587
2011,0.666666666667,0.627272727273,0.583333333333,1.09234690452,1.02654921536,1.08407605189
2012,1.0,2.35454545455,2.27777777778,1.11394543063,1.04285249107,1.10586286316
2013,0.333333333333,0.118181818182,0.0,1.14447755217,1.06745960032,1.12936958273
